Category,Subcategory 1,Subcategory 2,Subcategory 3,Value,Year
Total National Health Expenditures,Out of pocket,none,none,12778.0,1960
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,5639.0,1960
Total National Health Expenditures,Health Insurance,Medicare,none,176031.5,1960
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,139638.0,1960
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1960
Total National Health Expenditures,Health Insurance,Department of Defense,none,788.0,1960
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,897.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,62.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,486.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,615.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,102.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,116.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,20.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,337.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,2221.0,1960
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,122.0,1960
Total National Health Expenditures,Investment,Research,none,694.0,1960
Total National Health Expenditures,Investment,Structures & Equipment,none,1874.0,1960
Total National Health Expenditures,Out of pocket,none,none,13193.0,1961
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,6275.0,1961
Total National Health Expenditures,Health Insurance,Medicare,none,176031.5,1961
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,139638.0,1961
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1961
Total National Health Expenditures,Health Insurance,Department of Defense,none,836.0,1961
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,933.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,66.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,542.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,644.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,110.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,172.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,22.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,447.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,2399.0,1961
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,140.0,1961
Total National Health Expenditures,Investment,Research,none,886.0,1961
Total National Health Expenditures,Investment,Structures & Equipment,none,1988.0,1961
Total National Health Expenditures,Out of pocket,none,none,14085.0,1962
